date,cpi_yoy_nfne,wui_lag_4,wui_lag_2,cpi_rolling_12q,wui_rolling_12q,shock_gfc,shock_covid
1996-10-01,79.87434,11781.52,11799.2,90.04855972222224,10178.880083333333,0,0
1997-01-01,76.76068333333333,10780.95,9862.246,90.25509638888889,10066.834416666667,0,0
1997-04-01,76.86498666666667,11799.2,8467.397,87.6731563888889,10196.611416666667,0,0
1997-07-01,85.45403333333333,9862.246,8311.305,85.55263694444444,9845.087666666666,0,0
1997-10-01,91.10570333333334,8467.397,11003.56,84.0160761111111,9710.986666666666,0,0
1998-01-01,94.51853,8311.305,8718.845,82.57136750000001,9944.158333333333,0,0
1998-04-01,95.00811333333336,11003.56,6869.106,83.64353333333334,9927.284000000001,0,0
1998-07-01,86.79682000000001,8718.845,13808.13,84.29203166666667,10448.087583333334,0,0
1998-10-01,79.71515,6869.106,9724.482,84.14800055555556,10258.886333333334,0,0
1999-01-01,73.12398333333333,13808.13,14250.31,83.45638194444444,10283.383833333331,0,0
1999-04-01,70.08999,9724.482,9511.105,82.54847277777777,10384.971333333333,0,0
1999-07-01,71.19059,14250.31,11074.92,81.70857694444445,10044.59825,0,0
1999-10-01,71.78886333333334,9511.105,13018.25,81.03478722222222,9994.194249999999,0,0
2000-01-01,73.09240666666666,11074.92,5777.769,80.72909750000001,9787.61325,0,0
2000-04-01,65.23766,13018.25,7862.549,79.76015361111111,9334.811666666666,0,0
2000-07-01,55.553133333333335,5777.769,5832.333,77.26841194444444,9759.630416666665,0,0
2000-10-01,45.11037666666667,7862.549,5569.941,73.43546805555556,10177.292416666667,0,0
2001-01-01,38.47613666666667,5832.333,13816.67,68.76526861111113,10886.990749999999,0,0
2001-04-01,49.48529333333334,5569.941,11881.05,64.97170027777777,11174.88475,0,0
2001-07-01,54.64300666666666,13816.67,22324.51,62.29221583333333,12083.688083333333,0,0
2001-10-01,59.18627,11881.05,13179.21,60.581475833333336,13245.110999999999,0,0
2002-01-01,59.46870333333334,22324.51,25155.95,59.443535833333335,14205.314333333334,0,0
2002-04-01,45.90056333333333,13179.21,23448.18,57.42775027777777,14615.331,0,0
2002-07-01,39.53108,25155.95,22597.36,54.789457777777784,15311.88775,0,0
2002-10-01,33.289183333333334,23448.18,17938.45,51.58115111111112,16976.082,0,0
2003-01-01,28.500109999999996,22597.36,14136.45,47.86512638888888,18633.272583333335,0,0
2003-04-01,24.50081666666667,17938.45,27832.88,44.47038944444444,21040.345833333333,0,0
2003-07-01,20.49660666666667,14136.45,25718.62,41.549012222222224,21879.485,0,0
2003-10-01,15.445706666666666,27832.88,34454.82,39.07695638888889,21894.248333333333,0,0
2004-01-01,11.893556666666669,25718.62,23886.34,36.86174138888889,21377.398333333334,0,0
2004-04-01,10.830296666666667,34454.82,12058.21,33.64049166666666,21110.409083333332,0,0
